x,y,class
10.269,4.662,1
10.995,4.965,1
11.519,5.076,1
12.043,5.434,1
2.446,5.599,1
3.212,5.131,1
2.473,3.781,1
2.796,2.404,1
2.218,1.467,1
1.801,4.883,1
2.191,3.698,1
2.648,1.44,1
2.124,1.963,1
2.473,2.156,1
2.782,3.092,1
3.199,4.497,1
3.28,2.073,1
4.288,1.77,1
4.785,2.211,1
5.43,2.128,1
4.086,2.294,1
3.602,2.404,1
3.387,1.027,1
3.387,2.844,1
3.831,1.633,1
4.234,2.431,1
4.462,3.285,1
4.126,3.45,1
4.812,4.387,1
5.094,3.561,1
4.543,4.194,1
5.511,4.084,1
3.898,4.773,1
3.75,5.874,1
4.301,4.91,1
4.691,4.855,1
5.497,3.946,1
5.847,2.707,1
5.497,2.239,1
5.497,3.12,1
4.772,1.467,1
5.793,1.385,1
6.29,1.853,1
6.626,2.046,1
7.124,2.046,1
7.487,1.88,1
8.427,1.853,1
8.575,1.77,1
9.368,1.963,1
10.645,1.908,1
11.116,1.963,1
11.734,2.239,1
12.083,2.734,1
11.734,3.34,1
11.411,4.332,1
11.223,4.69,1
8.817,4.359,1
6.895,4.607,1
6.344,5.379,1
5.228,5.847,1
6.935,5.957,1
7.392,5.654,1
8.105,5.544,1
7.554,3.919,1
7.608,3.01,1
8.091,3.258,1
6.882,3.12,1
5.941,3.175,1
6.734,3.313,1
6.344,3.974,1
6.573,2.541,1
6.358,2.404,1
5.067,1.164,1
5.228,2.762,1
7.984,3.395,1
6.949,3.588,1
7.339,3.946,1
7.46,4.828,1
8.145,3.037,1
7.594,2.514,1
7.312,2.817,1
7.54,1.77,1
8.239,1.522,1
8.091,2.073,1
9.073,2.817,1
8.481,3.671,1
9.503,4.525,1
8.925,5.682,1
9.812,5.737,1
10.444,5.737,1
11.142,5.737,1
11.734,5.737,1
12.513,6.26,1
12.849,6.287,1
13.522,6.728,1
13.858,7.747,1
13.952,8.078,1
14.207,7.968,1
13.737,6.783,1
13.495,5.709,1
13.441,4.304,1
13.589,3.919,1
12.876,4.993,1
12.769,4.111,1
12.648,4.442,1
9.556,3.285,1
9.019,3.423,1
9.462,4.139,1
9.825,3.919,1
11.008,4.359,1
11.344,4.332,1
10.981,2.9,1
10.323,2.844,1
10.094,1.77,1
10.148,1.357,1
9.489,2.128,1
10.067,2.431,1
9.341,2.569,1
8.79,2.734,1
8.71,1.991,1
9.073,1.385,1
8.965,2.211,1
8.589,2.349,1
8.468,1.908,1
7.46,1.247,1
6.976,1.55,1
5.981,1.302,1
6.573,1.522,1
5.766,1.963,1
5.161,1.247,1
5.094,2.128,1
5.551,1.385,1
4.704,0.889,1
3.965,0.999,1
3.884,1.027,1
10.538,3.809,1
10.806,4.029,1
10.995,4.056,1
11.841,3.12,1
11.29,3.313,1
11.304,2.404,1
10.685,2.376,1
11.29,1.743,1
11.411,1.33,1
11.599,3.974,1
11.317,3.864,1
12.003,4.414,1
11.868,4.828,1
12.056,3.781,1
12.419,3.203,1
12.594,4.111,1
13.078,3.588,1
12.957,3.313,1
12.903,2.927,1
11.976,3.23,1
13.105,1.082,1
14.301,2.239,1
13.737,3.065,1
14.61,2.955,1
14.772,3.175,1
15.255,4.167,1
15.927,4.69,1
15.027,5.709,1
15.121,5.103,1
16.237,5.682,1
16.868,6.508,1
17.07,7.031,1
17.392,8.877,1
17.433,9.675,1
17.755,11.824,1
18.078,13.532,1
18.642,5.461,1
16.64,1.054,1
16.935,3.34,1
8.804,0.806,1
2.876,7.885,1
5.054,7.499,1
4.247,15.763,1
3.683,14.743,1
3.32,16.451,1
6.438,16.975,1
4.812,13.835,1
4.409,13.972,1
3.038,14.082,1
4.341,14.165,1
4.234,15.57,1
3.616,15.735,1
4.677,17.278,1
5.242,16.121,1
5.43,13.118,1
3.858,12.678,1
5.685,14.385,1
15.632,8.794,1
15.914,7.086,1
16.841,9.207,1
16.411,11.108,1
16.478,12.788,1
16.277,14.0,1
16.384,15.763,1
16.142,17.057,1
16.022,17.856,1
15.215,18.682,1
11.183,5.709,1
9.677,5.434,1
8.669,4.965,1
8.078,4.855,1
8.548,3.643,1
8.602,2.679,1
7.258,2.569,1
8.656,2.624,1
8.159,2.101,1
7.809,1.55,1
6.142,1.082,1
5.78,4.855,1
5.417,4.8,1
4.946,5.02,1
3.414,3.809,1
2.863,1.385,1
1.452,0.613,1
2.245,1.412,1
1.29,1.495,1
1.008,1.908,1
0.47,2.294,1
0.766,3.203,1
0.632,4.745,1
1.008,2.955,1
0.766,1.412,1
0.726,2.762,1
1.505,2.844,1
1.277,3.809,1
1.452,2.073,1
1.855,4.387,1
1.452,4.387,1
1.815,2.844,1
